IKEA Valencia (Alfafar);Calle Alqueria Nova 12, Alfafar (Valencia);Tienda IKEA;Abierto hasta las 21:00;
IKEA Valladolid;Calle Me Falta un Tornillo 5, Arroyo de la Encomienda (Valladolid);Tienda IKEA;Abierto hasta las 22:00;
IKEA Valls - Punto de Recogida;Polígon Industrial de Valls, Valls, Tarragona;Punto de recogida IKEA;Abierto hoy 10:00 - 13:00, 15:00 - 22:00;
IKEA Vigo - Espacio de planificación;Rúa do Miradoiro, 2 - Centro Comercial Gran Vía, Vigo;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Vitoria-Gasteiz - Espacio de planificación;Zaramaga kalea, Vitoria- Gasteiz;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Zaragoza;Centro Comercial Puerto Venecia, Calle Teatro Malibrán 30, Zaragoza;Tienda IKEA;Abierto hasta las 22:00;
unto de recigida-IKEA Burgos;Carretera Madrid-Irún Km 245 Nave 7, BURGOS;Punto de recogida IKEA;Abierto hoy 8:00 - 13:00, 16:00 - 20:00;
Punto de recogida - Astigarraga;Oialume Bidea, 15, Astigarraga, Gipuzkoa;Punto de recogida IKEA;Abierto hasta las 19:00;
Punto de recogida - Av. de Valladolid - Madrid;Av. de Valladolid, 39, 28008 Madrid, Madrid;Punto de recogida IKEA;Abierto hoy 8:30 - 14:30, 16:30 - 20:00;
Punto de recogida - IKEA Ciudad Real;Centro Comercial El Parque Av. de Europa 45, Ciudad Real;Punto de recogida IKEA;Abierto hasta las 22:00;
Punto de recogida - IKEA Ciutat de Granada;Ciutat de Granada 123, Barcelona;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida - IKEA Toledo;Parque comercial La Abadía CM-4003, s/n, Toledo;Punto de recogida IKEA;Abierto hasta las 20:00;
Punto de recogida - Júndiz;Mendigularra Kalea, 2b, Gasteiz, Araba;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 15:00 - 18:00;
Punto de recogida - Logroño;C. Sta. María, 2,, Logroño, La Rioja;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 16:00 - 19:00;
Punto de recogida - Talavera de la Reina;Rda. del Cañillo, Talavera de la Reina;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 16:00 - 19:00;
Punto de recogida Alcoy (gestionado por Necesito un trastero - red SAMA LOGÍSTICA);Carrer Oliver, 35, Alcoy;Punto de recogida IKEA;Cerrado;
Punto de recogida Barcelona Marina (OhMyBox! Tu trastero de alquiler);Calle de Marina, 153,, Barcelona;Punto de recogida IKEA;Abierto hasta las 18:00;
Punto de recogida Cartagena (gestionado por GLS - red SAMA LOGÍSTICA);C. Bratislava, 21-22, Cartagena;Punto de recogida IKEA;Cerrado;
Punto de recogida Elche (gestionado por GLS - red SAMA LOGÍSTICA);Carrer Sabadell, 12, Elche;Punto de recogida IKEA;Cerrado;
Punto de recogida Ferrol (Gestionado por Caredu Express);Lugar de la pega, nave 2, Ferrol;Punto de recogida IKEA;Abierto hoy 10:00 - 13:00, 16:00 - 18:00;
Punto de recogida Finestrat (gestionado por Trasteros La Nave Finestrat - red SAMA LOGÍSTICA);Avinguda País Valencià, 5, Finestrat, Alicante;Punto de recogida IKEA;Cerrado;
Punto de recogida Gandía (gestionado por Necesito un trastero - red SAMA LOGÍSTICA);Carrer Colón, 25, Gandía;Punto de recogida IKEA;Cerrado;
Punto de recogida Girona (MASCOTRANS LOGISTICS);Carrer Tramuntana, s/n, 17460 Celrà, Girona, Celrà;Punto de recogida IKEA;Abierto hasta las 18:00;
Punto de recogida IKEA Albacete;C. del Alcalde Conangla, s/n, planta baja, Albacete;Punto de recogida IKEA;Abierto hoy 16:00 - 20:00;
Punto de recogida IKEA Alicante;Calle José García Sellés, 2, Alicante;Punto de recogida IKEA;Abierto hoy 11:00 - 13:00, 16:00 - 20:00;
Punto de recogida IKEA Badajoz;Centro Comercial Conquistadores, Av. de Elvas, S/N, Badajoz, España, Badajoz;Punto de recogida IKEA;Abierto hasta las 22:00;
Punto de recogida IKEA Cáceres;Parking -1 C.C. Ruta de la Plata. Calle Londres, 1, Bajo, Cáceres;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida IKEA Chamberí (Madrid);calle Gonzalo de Córdoba, 14, Madrid;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida IKEA Córdoba;Centro de Ocio el Tablero, parking -1. C/ Poeta Juan Ramón Jiménez, s/n., Córdoba;Punto de recogida IKEA;Abierto hasta las 20:00;
Punto de recogida IKEA Dos Hermanas;CC Way, Av. Ing. José Luis Prats, nº 3-4, local 2.14, Dos Hermanas;Punto de recogida IKEA;Abierto hasta las 22:00;
Punto de recogida IKEA Embajadores (Madrid);Ronda de Toledo 38, esquina Calle Santocildes, Madrid;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida IKEA Girona;C. de Sant Joan Bta. la Salle, 38,, Girona;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida IKEA Huelva;Calle Alonso de Ojeda, 7, Huelva;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 16:00 - 18:00;
Punto de recogida IKEA Les Roquetes;Valenti Village, Rambla de Garraf 48-60 Local 6-D, 08812, Les Roquetes (Sant Pere de Ribes), Barcelona;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida IKEA Mérida;Calle Palencia, 7, Nave 12 B, Mérida;Punto de recogida IKEA;Abierto hasta las 14:00;
Punto de recogida IKEA Ondara;Avenida Costa Blanca 1, Centro Comercial Portal de la Marina, Ondara;Punto de recogida IKEA;Abierto hasta las 22:00;
Punto de recogida IKEA Tetuán (Madrid);C/ de San Germán, 43, Madrid;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida IKEA Travessera de Gracia (Barcelona);Travessera de Gracia 12, Bajos 2a,, Barcelona;Punto de recogida IKEA;Abierto hasta las 22:00;
Punto de recogida La Seu d'Urgell (naGRUP);Ctra. Andorra -Nac.145 Km.9,, Farga de Moles;Punto de recogida IKEA;Abierto hasta las 18:00;
Punto de recogida Las Rozas (Madrid);calle Dublín 9, Las Rozas, Las Rozas, Madrid;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida Lorca (gestionado por SAMA);Av. Rio Duero, 14, Lorca;Punto de recogida IKEA;Cerrado;
Punto de recogida Lugo (Gestionado por GLS);Rúa das comunicacións, 97, Lugo;Punto de recogida IKEA;Abierto hoy 10:00 - 13:00, 16:00 - 19:00;
Punto de recogida Núñez de Balboa (Madrid);c/Núñez de Balboa, 28, Madrid;Punto de recogida IKEA;Abierto hasta las 21:00;
Punto de recogida Ourense;Avenida Progreso 76 A, local 4, Ourense, España;Punto de recogida IKEA;Abierto hoy 11:00 - 13:00, 16:00 - 20:00;
Punto de recogida Paterna (gestionado por Cade Logistics - red SAMA LOGÍSTICA);Carrer Vila de Madrid, 43, Paterna;Punto de recogida IKEA;Abierto hoy 11:00 - 13:00, 16:00 - 18:00;
Punto de recogida Reus (Transportes Lapuente);Pol. Cim del Camp. Calle Dels Peixaters 4., Reus;Punto de recogida IKEA;Abierto hasta las 18:00;
Punto de recogida Roquetas de Mar (Gestionado por Home Almería);Carretera de Alicún 115, Roquetas de Mar;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 17:00 - 20:00;
Punto de recogida San Sebastián de los Reyes;Av. Matapiñonera, 9, 28703 San Sebastián de los Reyes, Madrid, Madrid;Punto de recogida IKEA;Abierto hasta las 22:30;
Punto de recogida San Vicente del Raspeig (gestionado por Necesito un trastero - red SAMA LOGÍSTICA);Calle Azorín, 23, San Vicente del Raspeig (Alicante);Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 16:00 - 18:00;
Punto de recogida Santiago de Compostela (Gestionado por Autoradio);Rúa de Castela a Mancha nº 27-29 Parcelas E4b02a y E4202b en el Polígono da Sionlla, Santiago de Compostela;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 16:00 - 19:00;
Punto de recogida Torrevieja (gestionado por GLS - red SAMA LOGÍSTICA);Calle Acacio Rebagliato Pamies, 21, B, Torrevieja;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 17:00 - 21:00;
Punto de recogida Vic (Vic Trasters S.L);Carrer de Francesc Santcliment, 87,, Vic;Punto de recogida IKEA;Abierto hoy 10:00 - 13:00, 16:00 - 19:00;
Punto de recogida Vigo (Gestinado por DACHSER);Parque Tecnológico y Logístico de Vigo 1, Parcela 1, Vigo, Pontevedra, España;Punto de recogida IKEA;Abierto hasta las 18:00;
unto de recogida-Huesca (Gestionado por Necesito un Trastero);Necesito Un Trastero, C. Menendez Pidal, 14, 22004 Huesca, Huesca;Punto de recogida IKEA;Abierto hoy 10:00 - 13:00, 16:00 - 20:00;
unto de recogida-IKEA - Quintana Alcalá;Calle los Urquiza, 8, Madrid;Punto de recogida IKEA;Abierto hasta las 21:00;
unto de recogida-IKEA Avila;C/Río Duero 10, Polígono Industrial Las Hervencias, Avila;Punto de recogida IKEA;Abierto hoy 10:00 - 13:30, 16:00 - 19:00;
Punto de recogida Alcoy (gestionado por Necesito un trastero - red SAMA LOGÍSTICA);Carrer Oliver, 35, Alcoy;Punto de recogida IKEA;Cerrado;
unto de recogida-IKEA Lleida;Rambla de Ferran, 39, 25007 Lleida, Lleida;Punto de recogida IKEA;Abierto hasta las 21:00;
unto de recogida-IKEA Salamanca;C/Wesley, 153, Salamanca;Punto de recogida IKEA;Abierto hoy 9:00 - 13:00, 16:00 - 19:00;
unto de recogida-IKEA Segovia;C/Álamo, Polígono Industrial Nicomedes García 128, SEGOVIA;Punto de recogida IKEA;Abierto hoy 10:00 - 13:00, 16:00 - 19:00;
unto de recogida-Soria;Calle C, Nave 2 Trasteros en Soria (Polígono Industrial, 42005 Las Casas, Soria, Soria;Punto de recogida IKEA;Cerrado;
unto de recogida-Teruel;Tourline Express, Ctra. Alcañiz, 72, 44003 Teruel, Teruel;Punto de recogida IKEA;Cerrado;
